TIME_OF_DAY,TEMPERATURE,HUMIDITY,CO2_INFRAREDSENSOR,CO2_ELECTROCHEMICALSENSOR,METALOXIDESENSOR_UNIT1,METALOXIDESENSOR_UNIT2,METALOXIDESENSOR_UNIT3,METALOXIDESENSOR_UNIT4,CO_GASSENSOR,SESSION_ID,HVAC_OPERATION_MODE,AMBIENT_LIGHT_LEVEL,ACTIVITY_LEVEL
evening,25.62,51.42,111.03,595.57,399.37,726.7,678.42,583.48,2.0,3856,eco mode,very dim,low activity
night,17.77,52.66,121.58,588.66,490.09,747.65,717.92,660.8,0.0,5820,ventilation only,moderate,high activity
night,20.49,57.04,117.56,548.78,460.61,719.2,680.29,603.74,1.0,3592,maintenance mode,dim,low activity
afternoon,18.41,48.78,98.49,599.33,478.52,726.7,712.84,641.93,0.0,3418,cooling active,very bright,low activity
morning,17.27,53.08,130.63,576.99,481.75,723.48,673.41,608.6,2.0,9184,cooling active,bright,moderate activity
afternoon,18.46,53.49,79.11,589.62,475.06,741.39,709.57,623.08,0.0,5172,off,bright,low activity
night,23.02,49.53,113.72,573.71,419.47,720.91,673.69,611.1,2.0,1826,cooling active,moderate,low activity
morning,18.9,52.23,79.77,585.11,527.87,753.14,718.43,652.21,1.0,3074,heating active,very bright,moderate activity
morning,16.94,50.98,115.48,585.08,492.01,740.17,701.98,645.38,1.0,2679,off,very bright,high activity
evening,22.07,49.12,107.67,567.81,441.96,733.0,696.97,644.47,1.0,2847,off,very bright,low activity
evening,21.62,53.47,99.87,601.47,418.28,691.29,614.74,536.93,2.0,3856,off,bright,low activity
night,20.47,51.42,120.57,550.75,445.41,709.9,674.98,600.52,2.0,9385,maintenance mode,moderate,high activity
evening,21.77,53.09,100.38,607.18,420.28,688.38,614.68,537.38,2.0,3856,heating active,very bright,low activity
evening,21.64,53.44,103.87,600.98,403.42,687.14,620.98,536.11,2.0,3856,maintenance mode,bright,low activity
evening,21.58,53.61,104.82,602.22,410.13,691.2,619.6,537.7,2.0,3856,maintenance mode,moderate,low activity
evening,21.38,44.92,116.78,590.72,465.07,722.55,679.42,622.1,1.0,8052,cooling active,very bright,high activity
night,21.52,51.42,96.57,602.41,412.71,700.34,621.77,539.74,2.0,3856,maintenance mode,very bright,low activity
afternoon,22.72,51.97,115.48,552.29,487.78,713.94,663.73,598.44,1.0,7058,heating active,very dim,low activity
night,21.07,54.35,107.75,598.6,405.87,702.71,620.4,542.52,2.0,3856,ventilation only,very bright,low activity
night,21.12,54.15,106.35,600.14,412.95,726.7,615.94,545.34,2.0,3856,eco mode,very bright,low activity
night,21.2,54.04,100.9,604.62,418.74,701.23,626.68,554.11,2.0,3856,cooling active,moderate,low activity
night,20.99,51.42,102.26,598.96,421.98,726.7,637.37,560.96,2.0,3856,ventilation only,bright,low activity
night,20.67,55.39,101.93,604.89,417.13,693.07,613.79,548.85,2.0,3856,off,bright,low activity
night,22.92,50.41,119.54,578.7,428.19,700.62,660.75,570.33,1.0,4507,maintenance mode,moderate,low activity
night,20.68,55.38,111.03,600.46,418.34,695.35,626.54,546.78,2.0,3856,maintenance mode,dim,low activity
night,20.66,55.34,102.65,597.5,420.91,726.7,620.97,550.53,2.0,3856,off,bright,moderate activity
night,20.55,55.65,105.15,602.27,418.67,726.7,620.37,556.68,2.0,3856,eco mode,bright,low activity
night,21.85,51.42,125.6,551.86,460.5,726.7,663.73,598.92,2.0,5214,ventilation only,bright,low activity
night,20.7,54.82,102.8,594.8,413.96,702.27,632.45,554.21,2.0,3856,heating active,bright,low activity
night,20.63,54.93,103.18,596.64,427.2,706.22,630.56,549.97,2.0,3856,off,bright,low activity
night,20.56,55.09,105.79,599.48,438.51,704.82,636.46,567.4,2.0,3856,off,very bright,moderate activity
night,20.53,55.01,107.61,595.81,431.36,726.7,646.38,561.32,2.0,3856,off,moderate,low activity
night,20.51,51.42,109.34,606.98,426.23,707.13,637.63,556.94,1.0,3856,eco mode,bright,low activity
night,20.42,51.42,108.23,596.7,442.08,701.47,637.28,559.01,2.0,3856,maintenance mode,very bright,low activity
night,20.46,55.32,108.05,602.09,437.24,704.25,636.61,551.15,2.0,3856,eco mode,bright,low activity
afternoon,24.07,53.38,119.78,553.65,479.11,699.85,652.3,583.41,1.0,8936,off,very bright,low activity
night,20.31,51.42,102.71,599.26,440.66,726.7,641.53,562.65,2.0,3856,cooling active,very bright,low activity
evening,24.34,47.49,110.8,579.36,463.84,726.7,669.95,610.58,1.0,4507,maintenance mode,bright,high activity
night,20.16,56.08,106.44,596.16,441.28,712.9,640.64,555.69,2.0,3856,eco mode,very bright,low activity
afternoon,20.42,52.22,93.88,608.1,508.8,726.7,700.03,639.07,1.0,3856,heating active,moderate,low activity
night,20.02,56.32,109.35,598.52,425.94,709.83,632.22,557.78,2.0,3856,off,dim,moderate activity
afternoon,22.16,47.03,95.62,597.51,489.57,737.14,687.93,626.81,1.0,9658,eco mode,very dim,low activity
night,20.0,55.71,114.72,600.8,453.79,719.95,655.89,580.55,1.0,3856,cooling active,dim,low activity
night,20.09,55.32,109.46,598.2,455.3,715.91,658.7,572.24,1.0,3856,ventilation only,bright,moderate activity
night,20.36,53.35,94.97,607.54,444.77,725.05,677.42,592.58,1.0,9127,heating active,bright,moderate activity
night,22.06,52.86,123.7,546.7,434.27,726.7,645.94,562.74,3.0,9385,ventilation only,moderate,low activity
night,19.91,55.65,105.35,601.93,458.9,716.74,657.05,564.24,1.0,3856,maintenance mode,bright,moderate activity
night,19.66,56.2,110.87,600.89,451.75,715.79,649.86,567.74,1.0,3856,eco mode,very bright,high activity
night,19.63,56.22,109.58,602.85,443.46,726.7,652.34,577.14,1.0,3856,heating active,bright,moderate activity
night,19.57,56.41,108.59,604.72,462.2,713.52,651.83,575.83,1.0,3856,eco mode,very bright,moderate activity
afternoon,22.85,51.42,119.36,551.39,481.53,711.27,662.57,606.28,2.0,7058,off,moderate,low activity
night,19.53,51.42,112.32,598.73,440.27,725.16,657.68,576.36,1.0,3856,eco mode,very bright,high activity
night,19.57,56.19,106.35,598.26,462.11,727.02,653.21,587.34,1.0,3856,eco mode,dim,high activity
night,19.58,51.42,110.39,598.38,467.77,717.6,651.86,591.85,1.0,3856,heating active,moderate,low activity
night,19.47,56.27,109.77,604.57,461.92,718.63,652.24,581.55,1.0,3856,maintenance mode,very bright,high activity
night,19.56,55.91,111.59,600.32,469.38,721.5,663.2,589.29,1.0,3856,ventilation only,very bright,low activity
night,19.67,51.42,106.08,605.68,458.08,721.43,645.07,580.02,1.0,3856,maintenance mode,very bright,moderate activity
night,19.49,55.99,108.79,597.61,458.65,726.7,654.49,577.05,1.0,3856,eco mode,very bright,low activity
night,19.36,56.44,115.91,601.96,463.89,733.08,672.68,592.86,1.0,3856,heating active,very bright,moderate activity
night,19.4,51.42,109.17,599.83,477.8,730.11,660.91,584.28,1.0,3856,heating active,moderate,moderate activity
night,19.02,53.37,122.09,586.79,449.5,738.99,689.78,619.69,1.0,6847,ventilation only,bright,moderate activity
evening,24.46,47.39,112.4,583.07,463.94,722.83,684.47,625.46,1.0,4507,ventilation only,very bright,moderate activity
night,19.29,56.53,111.3,601.91,476.47,726.86,659.5,587.47,1.0,3856,eco mode,bright,high activity
night,18.18,51.42,125.93,586.64,493.98,737.95,687.31,613.86,1.0,1374,heating active,dim,low activity
morning,16.87,49.52,114.72,585.96,498.63,744.45,715.32,648.92,2.0,8052,cooling active,very bright,moderate activity
morning,19.22,56.38,111.77,595.55,478.56,726.7,664.16,597.14,1.0,3856,cooling active,very bright,high activity
morning,18.3,51.42,94.05,567.38,500.46,721.92,670.8,612.58,2.0,7058,maintenance mode,very bright,high activity
morning,19.06,56.83,115.97,595.8,478.25,725.57,665.72,596.53,1.0,3856,ventilation only,bright,high activity
morning,19.07,56.8,111.99,596.42,479.23,728.48,669.0,594.12,1.0,3856,heating active,bright,low activity
night,20.48,57.1,127.91,549.54,456.99,703.71,668.61,595.87,1.0,3592,heating active,moderate,low activity
afternoon,22.93,48.58,110.77,581.4,457.32,723.92,674.25,605.92,1.0,4507,ventilation only,dim,moderate activity
morning,19.0,55.08,97.65,577.51,504.72,726.7,707.46,643.21,1.0,6528,eco mode,bright,moderate activity
evening,23.18,51.42,113.52,587.46,487.83,725.16,690.36,634.37,1.0,3418,cooling active,very dim,low activity
morning,18.95,56.99,113.04,604.95,480.52,729.17,671.99,596.0,1.0,3856,cooling active,moderate,high activity
morning,18.99,56.83,107.8,599.93,485.21,730.25,678.77,592.17,1.0,3856,off,very bright,low activity
morning,18.89,57.03,106.67,602.07,469.28,731.87,665.48,591.44,1.0,3856,cooling active,very bright,moderate activity
morning,18.92,56.92,110.51,600.69,493.23,736.37,669.45,606.63,1.0,3856,ventilation only,very bright,low activity
morning,18.96,56.72,110.75,603.46,485.44,730.53,668.08,598.08,1.0,3856,heating active,bright,high activity
morning,18.95,56.76,108.85,602.58,507.22,736.81,672.05,614.35,1.0,3856,eco mode,moderate,high activity
morning,18.99,56.66,109.36,600.4,498.1,732.69,681.76,589.46,1.0,3856,cooling active,moderate,low activity
morning,20.14,57.45,131.42,558.73,460.68,716.52,681.99,604.58,1.0,9385,eco mode,very dim,low activity
evening,23.52,52.05,140.27,556.89,427.55,682.57,611.73,543.39,2.0,1903,eco mode,moderate,low activity
morning,19.0,56.33,111.39,596.37,490.47,727.19,674.06,607.86,1.0,3856,maintenance mode,very bright,low activity
morning,19.07,55.99,105.35,604.74,471.32,736.53,684.81,599.21,1.0,3856,maintenance mode,bright,high activity
morning,19.14,55.72,111.23,597.85,486.36,734.86,677.13,613.72,1.0,3856,heating active,very bright,high activity
morning,19.44,54.71,109.76,605.31,482.22,735.2,678.41,595.18,1.0,3856,maintenance mode,bright,moderate activity
afternoon,18.54,51.9,138.55,575.56,466.78,727.62,680.63,604.95,2.0,9184,heating active,very bright,high activity
morning,18.85,48.71,97.7,603.92,517.27,758.94,710.34,653.9,1.0,3856,maintenance mode,very bright,moderate activity
night,20.97,58.16,123.83,541.0,472.69,717.5,667.91,603.35,1.0,8936,eco mode,very bright,low activity
afternoon,17.67,47.21,94.96,598.36,386.96,726.7,698.54,637.4,2.0,5820,heating active,bright,high activity
night,20.88,54.78,139.78,570.6,453.73,707.39,652.76,582.31,2.0,9184,maintenance mode,very bright,low activity
night,20.36,51.42,113.58,547.04,460.05,727.72,674.85,610.82,1.0,9385,off,bright,moderate activity
morning,19.55,46.12,75.34,617.87,547.11,770.09,738.38,684.5,1.0,3856,off,very bright,low activity
morning,19.47,51.42,75.34,622.89,533.44,772.06,729.22,672.22,0.0,3856,maintenance mode,very bright,moderate activity
morning,19.18,47.81,84.39,618.68,544.05,765.82,730.67,672.64,0.0,3856,ventilation only,bright,moderate activity
evening,24.51,47.8,116.49,574.29,458.45,702.81,673.32,595.56,2.0,7395,heating active,bright,low activity
morning,19.5,47.85,81.41,613.91,532.35,764.71,729.5,667.39,0.0,3856,eco mode,moderate,moderate activity
morning,19.4,48.38,80.93,613.68,531.92,726.7,730.85,655.79,0.0,3856,eco mode,very bright,low activity
morning,19.27,48.73,79.69,612.1,524.41,758.58,730.56,670.02,0.0,3856,maintenance mode,bright,moderate activity
evening,24.84,44.6,96.53,601.44,467.98,726.75,692.24,599.94,1.0,9127,eco mode,very bright,moderate activity
morning,18.95,50.41,81.72,619.36,522.61,766.52,714.93,667.96,0.0,3856,eco mode,very bright,moderate activity
night,20.88,51.98,104.01,554.88,479.73,738.98,688.19,638.17,1.0,9241,off,dim,low activity
morning,19.67,48.91,82.02,615.9,526.03,758.83,724.2,658.4,0.0,3856,ventilation only,very bright,moderate activity
morning,19.62,49.64,93.2,610.8,529.12,758.02,725.12,650.2,0.0,3856,cooling active,very bright,low activity
night,19.47,52.37,137.32,582.44,473.76,724.81,681.52,615.52,1.0,7963,heating active,very bright,moderate activity
morning,19.54,51.42,91.63,608.82,527.78,766.15,717.2,659.7,0.0,3856,ventilation only,dim,moderate activity
morning,19.5,50.25,87.39,608.69,503.5,761.0,719.93,649.58,0.0,3856,eco mode,dim,moderate activity
afternoon,18.74,53.7,79.12,612.52,542.07,763.85,714.24,651.2,1.0,3856,ventilation only,very bright,moderate activity
afternoon,19.43,50.49,89.3,614.92,524.64,726.7,706.99,650.0,0.0,9127,eco mode,bright,low activity
afternoon,19.65,49.95,88.5,607.77,529.81,757.81,716.39,657.96,0.0,9127,ventilation only,very bright,low activity
afternoon,18.63,52.13,82.87,580.57,528.08,699.04,629.91,590.93,0.0,1903,ventilation only,bright,high activity
afternoon,19.09,51.03,85.87,609.02,445.25,726.7,717.52,649.41,1.0,9127,maintenance mode,moderate,moderate activity
afternoon,19.37,51.42,93.72,608.17,450.17,753.6,719.0,653.85,1.0,9127,cooling active,bright,moderate activity
evening,22.63,46.47,126.72,576.79,427.84,715.46,676.01,598.83,2.0,6431,heating active,very bright,low activity
afternoon,18.66,52.24,91.41,614.32,462.58,726.7,716.57,650.24,0.0,9127,off,bright,low activity
afternoon,19.09,51.73,88.08,609.45,463.9,750.06,720.88,652.77,0.0,9127,cooling active,very bright,moderate activity
afternoon,20.42,49.1,86.21,616.63,471.09,754.12,701.0,651.52,0.0,9127,maintenance mode,very bright,moderate activity
afternoon,23.57,51.42,113.65,556.61,378.1,703.91,660.92,587.09,2.0,5214,heating active,very bright,low activity
afternoon,21.17,47.65,96.5,607.9,476.22,754.77,702.85,654.25,1.0,9127,maintenance mode,very dim,low activity
afternoon,21.52,47.3,90.9,616.67,495.64,751.81,703.06,648.14,1.0,9127,ventilation only,very bright,moderate activity
afternoon,21.79,47.04,90.16,606.97,480.97,753.38,711.91,647.48,1.0,9127,ventilation only,very bright,moderate activity
morning,20.16,57.27,124.71,547.74,487.22,712.67,657.16,603.56,2.0,3592,off,very bright,low activity
afternoon,17.49,50.67,95.47,597.1,461.92,758.74,712.94,635.81,0.0,3418,eco mode,very dim,high activity
afternoon,22.92,45.82,93.14,612.19,483.53,746.17,715.68,645.01,1.0,9127,cooling active,very bright,low activity
afternoon,23.19,51.42,89.56,603.68,488.57,726.7,709.82,634.87,1.0,9127,cooling active,bright,low activity
night,22.06,52.52,108.77,551.5,479.96,717.98,632.08,583.11,1.0,4703,maintenance mode,bright,low activity
afternoon,23.63,44.66,89.18,605.2,497.52,756.54,699.25,652.21,1.0,9127,heating active,moderate,low activity
afternoon,23.08,46.03,94.4,607.79,495.99,748.35,700.13,637.81,1.0,9127,maintenance mode,very bright,low activity
afternoon,21.29,46.73,95.64,607.49,494.59,726.7,713.32,630.92,1.0,1482,maintenance mode,very bright,moderate activity
afternoon,15.58,51.42,74.81,596.85,545.31,768.34,742.44,666.61,1.0,2679,eco mode,moderate,moderate activity
afternoon,23.34,51.42,101.78,605.54,459.99,753.87,712.97,637.14,1.0,9127,cooling active,bright,high activity
night,18.14,52.02,120.12,585.15,495.19,751.03,709.76,652.62,1.0,5820,off,moderate,low activity
night,21.54,53.58,125.9,554.45,444.87,699.77,648.71,567.0,3.0,9385,eco mode,very dim,low activity
afternoon,23.53,44.44,82.27,607.58,500.62,726.7,724.27,658.52,1.0,9127,cooling active,dim,moderate activity
afternoon,23.44,51.42,92.53,599.89,462.45,726.7,716.26,646.34,2.0,9127,maintenance mode,bright,low activity
evening,24.34,49.39,114.37,545.01,385.47,725.94,661.81,586.04,2.0,4703,cooling active,bright,low activity
night,20.24,51.42,110.21,599.38,426.92,726.7,636.73,549.34,2.0,3856,maintenance mode,moderate,low activity
afternoon,24.3,51.42,91.38,610.8,488.57,726.7,705.16,642.69,1.0,9127,off,bright,high activity
evening,23.89,51.55,128.2,564.26,392.14,686.0,620.2,549.41,2.0,4761,maintenance mode,bright,low activity
evening,24.22,49.52,109.9,551.73,450.24,728.38,670.76,615.33,1.0,9241,eco mode,very bright,low activity
morning,18.99,55.92,118.64,600.7,502.89,735.72,703.31,615.35,1.0,5693,ventilation only,bright,high activity
afternoon,22.71,49.44,105.04,535.03,525.76,768.65,724.76,650.3,1.0,4703,eco mode,very bright,high activity
afternoon,24.3,44.81,93.65,604.16,476.61,744.15,700.47,628.93,1.0,9127,eco mode,bright,low activity
afternoon,24.26,44.44,93.15,609.01,465.98,745.87,713.59,634.55,1.0,9127,cooling active,dim,moderate activity
afternoon,24.33,44.6,99.29,601.85,469.66,746.11,713.14,625.53,1.0,9127,cooling active,very bright,high activity
evening,21.98,48.09,113.12,584.12,450.12,726.7,654.06,570.7,1.0,4129,cooling active,bright,low activity
night,21.21,51.57,103.88,555.28,477.82,746.57,703.43,638.72,1.0,9241,maintenance mode,very bright,moderate activity
afternoon,24.64,44.67,96.67,605.04,470.02,744.29,694.73,629.98,1.0,9127,ventilation only,bright,low activity
afternoon,18.16,54.02,85.88,592.74,547.74,726.7,721.29,666.88,1.0,5172,heating active,bright,moderate activity
afternoon,24.67,44.45,97.5,607.03,446.58,730.58,693.18,616.26,1.0,9127,off,very bright,moderate activity
afternoon,20.18,51.42,73.77,562.3,500.64,767.3,719.1,668.65,1.0,4703,eco mode,bright,low activity
afternoon,24.36,45.07,98.83,606.77,439.79,734.14,682.7,620.56,1.0,9127,eco mode,very bright,moderate activity
evening,25.17,46.88,121.21,576.38,453.81,726.7,676.68,604.0,1.0,4507,heating active,bright,moderate activity
night,19.13,48.32,119.1,584.17,458.56,720.78,689.09,620.73,2.0,2679,cooling active,dim,low activity
afternoon,23.7,46.37,96.21,606.32,452.61,733.54,697.19,617.28,1.0,9127,heating active,bright,moderate activity
evening,23.67,51.42,99.16,604.31,456.45,726.19,685.26,601.93,1.0,9127,ventilation only,moderate,moderate activity
evening,24.2,45.75,105.78,601.65,462.53,729.33,694.35,617.54,1.0,9127,maintenance mode,very bright,moderate activity
night,21.15,52.19,125.32,571.72,424.2,726.89,670.51,596.64,1.0,1826,eco mode,very bright,low activity
evening,25.29,44.34,99.38,600.03,462.79,724.93,688.87,603.12,1.0,9127,off,moderate,high activity
night,18.95,50.67,118.53,583.21,476.62,755.42,721.71,645.56,1.0,5820,maintenance mode,very bright,moderate activity
evening,24.88,47.32,98.74,601.61,448.05,711.83,665.89,579.6,1.0,9127,heating active,dim,low activity
evening,24.54,46.42,107.73,598.55,442.96,716.34,686.94,605.17,1.0,9127,heating active,very bright,moderate activity
evening,24.02,47.45,102.48,603.72,459.14,715.63,674.61,589.0,1.0,9127,maintenance mode,very dim,moderate activity
morning,19.86,55.69,126.43,565.53,484.57,727.37,664.07,621.71,1.0,1903,cooling active,very bright,moderate activity
night,20.05,48.86,114.98,587.5,446.34,744.14,707.61,645.46,1.0,5820,heating active,bright,high activity
evening,21.66,48.57,147.32,570.48,427.49,726.7,660.56,589.33,3.0,6431,cooling active,very bright,moderate activity
evening,24.31,46.63,101.36,598.5,459.98,717.61,672.64,590.35,1.0,9127,maintenance mode,bright,moderate activity
morning,19.18,48.14,96.74,584.1,496.75,746.91,706.34,635.83,2.0,5172,cooling active,very bright,moderate activity
evening,24.51,46.22,98.86,603.76,450.25,715.89,675.37,590.4,1.0,9127,off,very bright,low activity
evening,24.82,45.57,107.46,598.95,458.4,718.37,670.18,586.28,1.0,9127,maintenance mode,moderate,low activity
evening,25.04,45.05,100.45,597.43,477.23,726.7,671.85,592.42,1.0,9127,ventilation only,very bright,moderate activity
morning,20.22,56.98,126.56,550.86,478.84,713.73,667.96,593.56,2.0,3592,cooling active,very bright,low activity
evening,24.22,46.43,100.96,603.27,470.14,715.22,668.87,588.91,1.0,9127,maintenance mode,bright,moderate activity
afternoon,21.34,46.5,122.58,585.69,478.29,746.61,705.34,649.0,1.0,5820,ventilation only,very bright,high activity
afternoon,21.86,50.19,125.86,583.51,415.7,713.79,671.73,589.01,1.0,4507,cooling active,moderate,low activity
